item_id,restaurant_id,item_name,price
1,49,Rasgulla,347.79
2,7,Gulab Jamun,205.7
3,8,Chole Bhature,313.79
4,10,Chicken Biryani,106.31
5,25,Samosa Chaat,297.43
6,11,Gulab Jamun,565.55
7,47,Gulab Jamun,178.71
8,11,Fish Curry,597.9
9,30,Fish Curry,537.12
10,32,Butter Chicken,126.83
11,26,Dal Tadka,317.76
12,16,Hakka Noodles,383.34
13,4,Paneer Tikka,226.31
14,39,Fish Curry,228.59
15,1,Chicken Biryani,304.08
16,17,Rasgulla,477.21
17,24,Paneer Tikka,288.3
18,37,Aloo Paratha,181.22
19,36,Momos,118.24
20,33,Chicken 65,477.49
21,18,Samosa Chaat,433.81
22,8,Masala Dosa,587.04
23,26,Rasgulla,493.35
24,22,Aloo Paratha,568.25
25,49,Masala Dosa,183.51
26,33,Paneer Butter Masala,340.04
27,3,Paneer Tikka,151.26
28,22,Fish Curry,350.05
29,10,Samosa Chaat,544.43
30,9,Gulab Jamun,564.31
31,21,Idli Sambar,284.34
32,40,Momos,388.74
33,33,Dal Tadka,356.82
34,46,Pav Bhaji,235.89
35,2,Rasgulla,252.24
36,8,Kadai Paneer,383.53
37,47,Butter Chicken,390.39
38,17,Pav Bhaji,380.37
39,47,Paneer Tikka,383.43
40,11,Dal Tadka,407.09
41,40,Paneer Butter Masala,156.84
42,44,Fried Rice,96.42
43,45,Chicken Biryani,179.21
44,29,Gulab Jamun,297.77
45,27,Hakka Noodles,293.4
46,50,Samosa Chaat,558.67
47,48,Paneer Tikka,447.0
48,34,Hakka Noodles,371.66
49,43,Fish Curry,353.25
50,21,Idli Sambar,319.03
51,35,Gulab Jamun,364.06
52,44,Chole Bhature,397.24
53,13,Fried Rice,225.08
54,20,Fried Rice,569.57
55,20,Momos,446.55
56,45,Fish Curry,244.86
57,23,Aloo Paratha,565.52
58,47,Chole Bhature,229.65
59,37,Aloo Paratha,277.44
60,26,Rasgulla,576.4
61,10,Momos,101.87
62,46,Veg Biryani,260.11
63,29,Chole Bhature,468.62
64,14,Hakka Noodles,510.53
65,18,Aloo Paratha,442.01
66,9,Chicken Biryani,400.15
67,38,Fried Rice,206.08
68,43,Dal Tadka,197.35
69,15,Paneer Tikka,132.1
70,22,Fish Curry,132.28
71,50,Masala Dosa,82.69
72,36,Idli Sambar,291.59
73,31,Fish Curry,418.28
74,49,Momos,247.01
75,42,Paneer Tikka,552.13
76,6,Pav Bhaji,200.75
77,48,Paneer Tikka,554.88
78,12,Kadai Paneer,538.77
79,12,Paneer Tikka,598.53
80,26,Fish Curry,176.88
81,48,Momos,535.91
82,1,Momos,375.34
83,7,Gulab Jamun,227.97
84,42,Aloo Paratha,352.65
85,9,Dal Tadka,323.37
86,13,Chicken Biryani,251.96
87,47,Chicken 65,417.11
88,46,Idli Sambar,87.32
89,22,Momos,375.25
90,49,Hakka Noodles,171.26
91,41,Paneer Butter Masala,510.03
92,33,Gulab Jamun,125.1
93,43,Chicken Biryani,176.09
94,9,Fish Curry,248.27
95,16,Butter Chicken,215.61
96,16,Chicken 65,471.95
97,22,Momos,382.88
98,37,Butter Chicken,216.01
99,24,Fried Rice,112.3
100,8,Chicken 65,239.54
101,26,Dal Tadka,560.02
102,46,Momos,438.95
103,41,Momos,271.12
104,15,Fried Rice,577.83
105,31,Masala Dosa,316.59
106,39,Rasgulla,296.24
107,36,Fish Curry,473.82
108,43,Hakka Noodles,476.17
109,44,Samosa Chaat,534.03
110,6,Dal Tadka,312.31
111,46,Rasgulla,120.61
112,37,Chicken Biryani,112.11
113,36,Dal Tadka,185.12
114,35,Masala Dosa,165.56
115,34,Chicken 65,140.44
116,14,Pav Bhaji,334.19
117,33,Chicken 65,500.52
118,30,Masala Dosa,346.89
119,30,Pav Bhaji,110.02
