order_detail_id,order_id,item_id,quantity
1,379,7,5
2,1264,69,5
3,1162,157,2
4,1222,60,2
5,1408,7,3
6,163,177,4
7,275,129,5
8,961,183,3
9,377,219,4
10,1007,122,2
11,336,50,2
12,67,105,1
13,553,244,4
14,456,191,2
15,419,17,2
16,900,222,5
17,1004,177,3
18,938,228,2
19,876,104,1
20,1246,189,4
21,1475,81,4
22,1253,241,5
23,1217,138,5
24,1314,225,1
25,1067,28,4
26,936,212,1
27,504,133,5
28,811,189,1
29,1143,100,5
30,1292,247,1
31,389,75,4
32,816,227,3
33,586,119,2
34,866,76,5
35,112,177,5
36,292,119,4
37,186,185,5
38,232,47,5
39,1426,140,2
40,806,106,3
41,924,7,2
42,930,152,2
43,932,24,3
44,664,178,2
45,1472,188,1
46,187,30,4
47,1299,93,1
48,1073,182,4
49,1489,203,5
50,1254,244,2
51,776,141,4
52,90,197,2
53,687,145,2
54,333,223,2
55,367,197,1
56,860,79,3
57,1496,197,4
58,592,161,2
59,241,231,2
60,416,1,5
61,519,4,4
62,1020,219,4
63,1114,207,1
64,1246,226,4
65,488,56,5
66,1351,122,4
67,840,114,1
68,1232,154,1
69,502,226,5
70,570,159,5
71,426,13,2
72,304,15,3
73,76,38,1
74,1367,148,5
75,612,85,1
76,101,28,4
77,366,42,3
78,1252,170,5
79,1173,202,5
80,364,248,4
81,1186,93,1
82,191,197,3
83,662,95,4
84,139,195,4
85,1128,17,3
86,965,35,1
87,1423,221,3
88,675,135,4
89,1075,54,2
90,1254,15,1
91,1171,187,5
92,180,124,5
93,1448,74,4
94,1247,218,3
95,532,135,5
96,1277,91,2
97,1259,145,4
98,1065,187,4
99,1009,207,2
100,1249,60,3
101,397,1,1
102,50,120,1
103,425,205,5
104,850,106,1
105,684,90,5
106,1306,55,1
107,1312,52,3
108,522,203,1
109,631,77,5
110,1127,83,1
111,234,176,3
112,700,102,5
113,1262,246,1
114,360,50,3
115,693,237,4
116,972,205,1
117,1323,35,4
118,319,161,4
119,1100,230,3
120,948,201,4
121,115,214,5
122,614,145,3
123,1138,138,1
124,427,148,3
125,725,17,2
126,575,216,1
127,695,97,5
128,340,147,5
129,798,48,5
130,240,222,3
131,1445,220,3
132,1454,9,3
133,848,23,4
134,487,96,4
135,620,56,5
136,620,45,1
137,767,201,1
138,414,234,1
139,909,130,1
140,989,232,5
141,316,49,3
142,991,188,5
143,636,199,3
144,294,197,1
145,1058,174,2
146,421,186,1
147,941,100,5
148,238,2,3
149,91,176,5
150,179,86,4
151,95,27,5
152,1350,191,3
153,47,148,3
154,1309,229,2
155,658,52,2
156,587,71,5
157,654,198,4
158,1375,31,3
159,306,41,3
160,235,4,5
161,1147,132,1
162,424,139,3
163,1126,82,3
164,290,242,3
165,1176,63,2
166,146,80,5
167,694,139,4
168,104,34,1
169,965,232,1
170,217,99,1
171,177,110,4
172,367,181,5
173,1214,162,4
174,1263,92,3
175,681,210,2
176,1461,195,5
177,161,250,4
178,1163,34,1
179,1431,120,1
