order_id,customer_id,restaurant_id,order_date
1,351,25,2023-06-23
2,72,18,2023-11-05
3,138,32,2023-05-30
4,33,11,2024-03-21
5,142,27,2023-11-03
6,248,5,2024-01-05
7,129,16,2025-01-08
8,321,32,2024-08-31
9,316,13,2024-04-13
10,55,9,2023-11-08
11,4,26,2023-12-07
12,431,40,2024-01-25
13,412,22,2024-03-26
14,172,28,2025-04-15
15,422,42,2024-08-31
16,70,20,2023-11-25
17,309,45,2023-07-25
18,246,21,2023-07-01
19,494,26,2023-11-23
20,150,48,2024-12-12
21,325,32,2024-08-12
22,401,16,2023-11-30
23,193,18,2025-04-16
24,403,26,2024-01-09
25,59,37,2023-07-24
26,304,35,2023-07-04
27,350,50,2024-07-17
28,14,47,2024-04-17
29,483,46,2023-08-03
30,225,19,2025-05-01
31,355,5,2025-04-18
32,435,27,2024-11-20
33,256,9,2024-10-10
34,156,16,2023-09-16
35,338,10,2025-01-02
36,217,25,2023-03-17
37,230,39,2024-05-05
38,299,26,2024-07-01
39,260,45,2024-03-04
40,279,3,2025-03-20
41,496,24,2024-12-19
42,459,35,2024-08-31
43,327,6,2023-04-22
44,394,16,2024-11-04
45,341,23,2023-06-20
46,332,40,2023-02-15
47,289,42,2024-11-24
48,332,26,2025-02-09
49,170,28,2023-04-19
50,6,7,2023-09-22
51,114,33,2025-02-03
52,266,36,2024-08-17
53,353,37,2023-08-15
54,229,24,2024-02-05
55,238,50,2024-11-26
56,302,45,2024-05-27
57,78,23,2023-01-26
58,248,7,2023-10-30
59,213,6,2023-04-29
60,426,47,2023-05-26
61,179,20,2023-12-18
62,234,14,2024-06-17
63,248,23,2024-05-02
64,50,29,2025-01-09
65,357,29,2023-11-23
66,35,20,2023-02-15
67,415,46,2023-04-28
68,12,22,2024-10-25
69,56,44,2025-03-30
70,85,48,2023-09-07
71,265,12,2024-07-19
72,82,22,2024-07-27
73,219,30,2023-08-26
74,409,26,2024-10-06
75,95,12,2024-10-17
76,337,28,2024-02-10
77,15,48,2024-09-20
78,453,13,2024-04-05
79,304,28,2024-02-03
80,3,46,2023-08-08
81,106,18,2025-02-09
82,361,5,2024-08-14
83,53,35,2023-07-11
84,188,21,2023-07-21
85,235,8,2023-09-26
86,344,32,2024-06-24
87,495,41,2023-11-17
88,306,25,2024-09-17
89,201,38,2023-04-27
90,179,23,2025-05-15
91,235,40,2023-06-26
92,417,44,2024-12-23
93,410,20,2024-09-21
94,303,6,2024-11-19
95,69,21,2023-05-01
96,123,20,2023-04-30
97,94,24,2024-12-11
98,73,33,2024-02-02
99,215,39,2023-05-22
100,295,25,2024-03-09
101,96,32,2024-10-12
102,276,45,2024-10-22
103,477,12,2024-07-22
104,86,32,2023-10-23
105,72,12,2023-11-19
106,432,29,2024-09-26
107,28,23,2023-01-10
108,249,9,2023-07-19
109,418,25,2024-07-29
110,259,42,2024-05-21
111,210,44,2024-05-18
112,213,46,2025-05-10
113,228,32,2023-06-21
114,43,37,2023-02-01
115,408,49,2023-08-14
116,150,3,2023-10-09
117,116,35,2023-10-23
118,87,50,2024-04-13
119,290,48,2025-03-02
120,393,32,2024-07-16
121,262,8,2024-08-09
122,59,18,2025-03-04
123,279,24,2024-07-09
124,422,49,2023-02-12
125,390,47,2024-03-27
126,280,14,2024-03-11
127,53,48,2025-04-29
128,335,49,2023-09-11
129,153,3,2024-04-05
130,135,23,2025-06-01
131,419,6,2024-03-25
132,444,8,2025-03-05
133,416,16,2023-08-03
134,416,48,2024-08-25
135,353,23,2025-05-31
136,364,40,2024-10-09
137,220,11,2024-09-22
138,72,14,2025-04-13
139,106,4,2024-08-06
140,180,35,2023-10-15
141,306,35,2023-06-22
142,166,46,2023-10-27
143,149,37,2023-10-01
144,488,33,2024-11-26
145,418,7,2023-05-19
146,493,49,2025-03-15
147,211,4,2023-10-11
148,444,42,2023-05-10
149,360,9,2023-09-13
150,75,46,2023-11-26
151,425,16,2025-02-18
152,432,44,2024-02-07
153,251,10,2024-08-14
154,324,18,2024-10-04
155,213,25,2024-04-07
156,39,41,2025-03-24
157,451,50,2023-04-06
158,207,33,2025-02-06
159,143,45,2025-06-17
160,189,30,2024-05-14
161,168,38,2023-01-03
162,445,50,2025-05-17
163,376,6,2025-01-18
164,498,30,2024-10-12
165,341,45,2024-01-02
166,436,5,2025-03-25
167,274,26,2023-08-12
168,496,28,2025-04-24
169,109,32,2023-10-02
170,166,19,2023-12-12
171,281,37,2023-05-14
172,290,32,2025-03-18
173,176,44,2025-02-19
174,25,3,2023-04-12
175,321,30,2023-01-17
176,64,11,2024-03-27
177,234,1,2024-03-14
178,104,45,2023-05-16
179,452,42,2023-11-06
180,82,18,2023-04-06
181,336,24,2023-09-14
182,43,24,2024-11-11
183,463,42,2023-06-19
184,27,26,2024-10-02
185,157,47,2024-12-17
186,387,15,2024-03-15
187,336,6,2024-12-21
188,49,1,2023-08-07
189,245,5,2023-05-16
190,304,15,2024-06-15
191,349,29,2023-01-10
192,5,45,2023-12-18
193,419,8,2025-05-30
194,217,45,2023-05-16
195,245,5,2023-08-23
196,197,6,2025-01-18
197,413,7,2023-04-16
198,161,24,2025-06-21
199,154,9,2024-01-27
200,397,49,2025-06-14
201,69,42,2024-11-24
202,74,5,2024-06-27
203,289,1,2024-09-16
204,333,11,2024-03-26
205,180,47,2023-08-07
206,322,48,2023-06-05
207,471,27,2024-09-22
208,352,29,2025-05-30
209,112,6,2023-04-13
210,72,49,2023-05-07
211,302,47,2024-01-29
212,180,28,2023-11-19
213,406,9,2023-09-11
214,142,42,2023-03-28
215,128,36,2024-09-07
216,308,47,2024-09-14
217,146,50,2024-12-08
218,14,43,2025-06-15
219,155,14,2024-06-14
220,311,33,2023-07-13
221,383,26,2023-10-30
222,331,4,2025-03-13
223,460,16,2024-05-21
224,198,8,2023-09-04
225,256,41,2024-08-31
226,37,34,2025-06-29
227,7,24,2023-11-21
228,68,25,2025-05-31
229,430,37,2024-03-06
230,188,35,2024-11-30
231,89,49,2024-04-27
232,489,50,2023-03-16
233,9,38,2023-03-11
234,8,17,2023-08-09
235,21,4,2025-03-19
236,204,33,2023-10-21
237,322,46,2024-05-28
238,393,27,2024-03-09
239,360,26,2023-03-26
240,328,35,2024-07-04
241,316,10,2023-10-12
242,43,20,2023-03-22
243,262,14,2025-04-07
244,80,35,2023-12-01
245,201,38,2024-10-11
246,391,42,2024-11-28
247,330,5,2023-11-14
248,358,28,2025-01-17
249,489,16,2023-03-01
250,126,6,2024-03-20
251,60,30,2024-09-18
252,312,4,2023-11-13
253,342,48,2024-11-04
254,380,12,2023-05-03
255,7,46,2023-05-21
256,360,1,2023-06-17
257,255,23,2024-06-19
258,265,47,2023-09-23
259,86,24,2023-05-10
260,384,50,2025-06-13
261,138,47,2025-06-26
262,61,50,2023-01-31
263,172,28,2023-10-06
264,269,5,2023-09-27
265,365,37,2024-10-04
266,40,32,2024-04-11
267,262,24,2023-02-26
268,256,37,2023-06-20
269,189,11,2023-09-19
270,396,7,2024-08-10
271,346,47,2023-04-29
272,117,48,2024-06-05
273,2,3,2025-05-29
274,442,1,2023-09-08
275,24,31,2024-01-08
276,197,10,2023-07-03
277,477,3,2024-07-20
278,412,46,2025-01-28
279,336,27,2023-08-18
280,165,16,2024-03-02
281,469,47,2023-11-24
282,139,5,2024-08-08
283,191,8,2024-05-29
284,345,4,2023-07-03
285,115,34,2023-02-17
286,489,26,2023-03-12
287,450,30,2025-06-05
288,145,50,2025-05-15
289,160,21,2023-03-30
290,284,30,2023-01-09
291,189,13,2023-10-26
292,289,20,2025-01-27
293,319,16,2024-04-20
